Russia:17098246:145478097,
Canada:9984670:38667123,
China:9596961:1412600000,
USA:9833517:332649416,
Brazil:8515767:214567617,
Australia:7692024:25989437,
India:3287263:1375768475,
Argentina:2780400:45808747,
Kazakhstan:2724900:19211856,
Algeria:2381741:45400000,
Democratic Republic of the Congo:2344858:92378000,
Saudi Arabia:2149690:35013414,
Mexico:1964375:127996051,
Indonesia:1904569:272248500,
Sudan:1861484:44387835,
Libya:1759540:6959000,
Iran:1648195:85396311,
Mongolia:1564110:3434663,
Peru:1285216:33035304,
Chad:1284000:16818391,
Niger:1267000:211400708,
Angola:1246700:32097671,
Mali:	1240192:20856000,
South Africa:	1221037:60142978,
Colombia:	1141748:51049498,
Ethiopia:	1104300:117876000,
Bolivia:	1098581:11797257,
Mauritania:	1030700:4271197,
Egypt:	1002450:103224939,
Tanzania:	945087:59441988,
Nigeria:	923768:211400708,
Venezuela:	916445:28705000,
Pakistan:	881913:225199937,
Namibia:	825615:2550226,
Mozambique:	801590:30832244,
Turkey:	783562:84680273,
Chile:	756102:19678363,
Zambia:	752612:18400556,
Myanmar:	676578:55294979,
Afghanistan:	652864:32890171,
South Sudan:	644329:13249924,
France:	640679:67827000,
Somalia:	637657:16360000,
Central African Republic:	622984:5633412,
Ukraine:	603500:41130432,
Madagascar:	587041:26923353,
Botswana:	581730:2410338,
Kenya:	580367:47564296,
Yemen:	555000:30491000,
Thailand:513120:66781942,
Spain:	505992:47326687,
Turkmenistan:	488100:6118000,
Cameroon:	475442:24348251,
Papua New Guinea:	462840:9122994,
Sweden:	450295:10462498,
Uzbekistan:	447400:35511077,
Morocco:	446550:36586678,
Iraq:	438317:41190700,
Paraguay:	406752:7353038,
Zimbabwe:	390757:15790716,
Norway:	385207:5425270,
Japan:	377976:125502000,
Germany:	357114:83222442,
Congo:	342000:5657000,
Finland:	338425:5550066,
Vietnam:	331212:98505400,
Malaysia:	330803:32712200,
Ivory Coast:	322463:27087732,
Poland:	312696:38057000,
Oman:	309500:4527446,
Italy:	301339:58952787,
Philippines:	300000:111816049,
Ecuador:	276841:17968456,
Burkina Faso:	274222:21510181,
New Zealand:	270467:5137291,
Gabon:	267668:2233272,
Guinea:	245857:12907395,
United Kingdom:	242495:67081000,
Uganda:	241550:42885900,
Ghana:	238533:30832019,
Romania:	238397:19186201,
Laos:	236800:7337783,
Guyana:	214969:743699,
Belarus:	207600:9349645,
Kyrgyzstan:	199951:6700000,
Senegal:	196722:17223497, 
Syria:	185180:18276000,
Cambodia:	181035:15552211,
Uruguay:	176215:3554915,
Suriname:	163820:598000,
Tunisia:	163610:11746695,
Bangladesh:	148460:172630802,
Nepal:	147181:29192480,
Tajikistan:	143100:9506000,
Greece:	131957:10678632,
Nicaragua:	130373:6595674,
North Korea:	120540:25660000,
Malawi:	118484:18898441,
Eritrea:	117600:3601000,
Benin:	114763:12506347,
Honduras:	112492:9546178,
Liberia:	111369:4661010,
Bulgaria:	111002:6520314,
Cuba:	109884:11181595,
Guatemala:	108889:17109746,
Iceland:	103000:377280,
South Korea:	100210:51610695,
Hungary:	93028:9689000,
Portugal:	92226:10347892,
Jordan:	89342:11197464, 
Serbia:	88361:6871547,
Azerbaijan:	86600:10156366,
Austria:	83871:9027999,
United Arab Emirates:	83600:9282410, 
Czech Republic:	78871:10524167,
Panama:	75417:4278500,
Sierra Leone:	71740:8297882,
Ireland:	70273:5011500,
Georgia:	69700:3728573,
Sri Lanka:	65610:22156000,
Lithuania:	65300:2794961,
Latvia:	64559:1874900,
Togo:	56785:7886000,
Croatia:	56594:3888529,
Bosnia and Herzegovina:	51209:3320954, 
Costa Rica:	51100:5163038,
Slovakia:	49037:5434712,
Dominican Republic:	48671:10535535, 
Estonia:	45227:1330068,
Denmark:	43094:5873420,
Netherlands:	41850:17715981,
Moldova:	33846:2597100,
Belgium:	30528:11629213,
Switzerland:41284:8736500,
Lesotho:30355:2159000,
Bhutan:	38394:763200,
Taiwan:	36193:23359000,
Guinea-Bissau:	36125:1646077,
Armenia:	29743:2963900, 
Solomon Islands:	28896:728041,
Albania:	28748:2829741,
Equatorial Guinea:	28051:1505588,


Burundi:	27834:12574571,
Haiti:	27750:11743017,
Rwanda:	26338:12955768,
North Macedonia:	25713:1832696,
Djibouti:	23200:976107,
Belize:	22966:430191,
El Salvador:	21041:6825935,
Israel:	20770:9509180,
Slovenia:	20273:2108977,
Fiji:	18272:898402,
Kuwait:	17818:4670713,
Eswatini:	17364:1172000,
East Timor:	14919:1317780,
Bahamas:	13943:393450,
Montenegro:	13812:621306,
Vanuatu:	12189:301295,
Qatar:	11586:2799202,
Gambia:	11295:2487000,

Jamaica:	10991:2734093,
Kosovo:	10887:1782115,
Lebanon:	10452:6769000,
Cyprus:	9251:888005,
Palestine:	6020:5227193,
Brunei:	5765:429999,
Trinidad and Tobago:	5130:1367558,
Cape Verde:	4033:563198,
Samoa:	2842:199853,
Hong Kong:	2755:7403100,
Luxembourg:	2586:645397,
Mauritius:	2040:1266334,
Comoros:	1862:758316,
São Tomé and Príncipe:	964:214610,
Kiribati:	811:120740,
Bahrain:	785:1501635,
Tonga:	747:99532,
Singapore:	728:5453600,
Micronesia:	702:105754,
Saint Lucia:	616:178696,
Andorra:	468:79535,
Palau:	459:17957,
Seychelles:	452:99202,
Antigua and Barbuda:	442:99337,
Barbados:	430:288000,
Saint Vincent and the Grenadines:	389:110696,
Grenada:	344:113000,
San Marino:	61:33705,
Tuvalu:	26:10679:,
Nauru:	21:11832,
Monaco:2:39150,
Liechtenstein:160:39315,
Marshall Islands:181:54516,
Saint Kitts and Nevis:261:54000,
Maldives:300:383135,
Malta:316:514564,
Vatican City:	1:825,
